County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag
Claiborne,Invertebrate Animal,Other Type,Pseudotremia valga,A Millipede,G1G2,S1?,--,"Rare, Not State Listed",Terrestrial cave obligate; northernmost Ridge & Valley; Claiborne County.,Upland
Claiborne,Vertebrate Animal,Fish,Erimystax cahni,Slender Chub,G1,S1,"LT, XN",T,Major headwater tribs to TN River with small gravel substrates & swift-moderate currents.,Aquatic
Claiborne,Vascular Plant,Flowering Plant,Aureolaria patula,Spreading False-foxglove,G3,S3,--,S,Oak Woods And Edges,Upland
Claiborne,Invertebrate Animal,Mollusc,Fusconaia cuneolus,Finerayed Pigtoe,G1,S1,"LE, XN",E,Riffles of fords and shoals of mod gradient streams in firm cobble and gravel substrates; middle & upper Tennessee River watershed.,Aquatic
Claiborne,Vascular Plant,Flowering Plant,Meehania cordata,Heartleaf Meehania,G5,S2,--,T,Wooded Mountain Slopes,Upland
Claiborne,Vertebrate Animal,Fish,Percina williamsi,Sickle Darter,G2,S2,--,T,"Flowing pools over rocky, sandy, or silty substrates in clear creeks or small rivers; upper Tennessee River system; east TN.",Aquatic
Claiborne,Vascular Plant,Flowering Plant,Panax quinquefolius,American Ginseng,G3G4,S3S4,--,S-CE,Rich Woods,Possible
Claiborne,Vascular Plant,Flowering Plant,Viburnum rafinesquianum,Downy Arrowwood,G5,S1,--,S,Calcareous Woods And River Bluffs,Upland
Claiborne,Vascular Plant,Flowering Plant,Spiranthes lucida,Shining Ladies'-tresses,G4,S1S2,--,T,Alluvial Woods And Moist Slopes,Possible
Claiborne,Vertebrate Animal,Fish,Notropis buccatus,Silverjaw Minnow,G5,S1,--,E,Small creeks & large rivers with moderate current & sandy substrates; upper Cumberland River watershed; poss. introd. Stones River.,Aquatic
Claiborne,Vertebrate Animal,Mammal,Myotis lucifugus,Little Brown Myotis,G3,S3,--,T,Often uses human-made structures for resting and maternity sites; they also use caves and hollow trees. Typically feed over water.,No Data
Claiborne,Vertebrate Animal,Mammal,Perimyotis subflavus,Tri-colored bat,G2G3,S2S3,--,T,Generally associated with forested landscapes but may roost near openings.,No Data
Claiborne,Invertebrate Animal,Mollusc,Plethobasus cicatricosus,White Wartyback,G1,S1,"LE, XN",E,Presumed to inhabit shoals and riffles in large rivers; Tennessee & Cumberland river systems.  Very rare & poss extirpated in TN.,Aquatic
Claiborne,Invertebrate Animal,Insect,Pseudanophthalmus pallidus,Pale Cave Beetle,G1G2,S1S2,--,"Rare, Not State Listed",Terrestrial cave obligate; northern Ridge & Valley.,Upland
Claiborne,Invertebrate Animal,Mollusc,Plethobasus cooperianus,Orangefoot Pimpleback,G1,S1,"LE, XN",E,Large rivers in sand-gravel-cobble substrates in riffles and shoals in deep flowing water; Cumberland & Tennessee river systems.,Aquatic
Claiborne,Vertebrate Animal,Amphibian,Aneides aeneus,Green Salamander,G3G4,S3S4,--,"Rare, Not State Listed",Damp crevices in shaded rock outcrops and ledges; beneath loose bark and cracks of trees and sometimes in/or under logs.,Upland
Claiborne,Invertebrate Animal,Mollusc,Pleuronaia dolabelloides,Slabside Pearlymussel,G2,S2,LE,E,"Lg creeks to mod sized rivers, in riffles/shoals of sand, fine gravel, and cobble substrates with mod current; Tennessee R watershed.",Aquatic
Claiborne,Invertebrate Animal,Mollusc,Epioblasma brevidens,Cumberlandian Combshell,G1,S1,"LE, XN",E,"Large creeks to large rivers, in coarse sand or mixtures of gravel, cobble, or rocks; Tennessee & Cumberland river systems.",Aquatic
Claiborne,Vascular Plant,Flowering Plant,Juglans cinerea,Butternut,G3,S3,--,T,Rich Woods And Hollows,Possible
Claiborne,Invertebrate Animal,Other Type,Pseudotremia nodosa,A Millipede,G4,S2S3,--,"Rare, Not State Listed","Terrestrial cave obligate; lower Powell River drainage; upper Ridge & Valley; Claiborne, Hancock, & Union counties.",Upland
Claiborne,Vascular Plant,Flowering Plant,Ribes missouriense,Missouri Gooseberry,G5,S2,--,S,Rocky Woods,Upland
Claiborne,Invertebrate Animal,Crustacean,Stygobromus finleyi,Finley's Cave Amphipod,G3G4,S1,--,"Rare, Not State Listed","Aquatic cave obligate, from shallow pools; northern Ridge & Valley; Claiborne County.",Aquatic
Claiborne,Vascular Plant,Flowering Plant,Cardamine rotundifolia,Round-leaf Watercress,G4,S2S3,--,S,Mucky Wetlands And Seeps,Possible
Claiborne,Invertebrate Animal,Insect,Pseudanophthalmus rotundatus,A Ground Beetle,G2,S2,--,"Rare, Not State Listed",Terrestrial cave obligate; northern Ridge & Valley.,Upland
Claiborne,Invertebrate Animal,Mollusc,Cumberlandia monodonta,Spectaclecase,G3,S2S3,LE,E,"Medium to large rivers; in substrates from mud and sand to gravel, cobble, and boulders; Cumberland and Tennessee river systems.",Aquatic
Claiborne,Invertebrate Animal,Mollusc,Plethobasus cyphyus,Sheepnose,G3,S2S3,LE,E,"Large to medium-sized rivers, in riffles and coarse sand/gravel subst; TN & Cumb river systems incl KY Reservoir; W Uplands & Rim.",Aquatic
Claiborne,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland
Claiborne,Invertebrate Animal,Mollusc,Lampsilis abrupta,Pink Mucket,G1G2,S2,LE,E,"Generally a large river species, preferring sand-gravel or rocky substrates with mod-strong currents; Tennessee & Cumberland river systems.",Aquatic
Claiborne,Vertebrate Animal,Amphibian,Desmognathus welteri,Black Mountain Salamander,G4,S3,--,D,Spring runs and permanent streams in wooded mountainous terrain; northern Cumberlands.,Aquatic
Claiborne,Invertebrate Animal,Crustacean,Bactrurus angulus,Cumberland Gap Cave Amphipod,G1,S1,--,"Rare, Not State Listed",Aquatic cave obligate; Cumberland Gap area.,Aquatic
Claiborne,Invertebrate Animal,Insect,Pseudanophthalmus engelhardti,Engelhart's Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; northern Ridge & Valley.,Upland
Claiborne,Vertebrate Animal,Amphibian,Desmognathus abditus,Cumberland Dusky Salamander,G2G3,S2S3,--,D,Assoc. with streams of Cumberland Plateau; under rocks along small streams or adj. cover; Morgan & Grundy counties.,Aquatic
Claiborne,Vascular Plant,Flowering Plant,Juncus brachycephalus,Small-headed Rush,G5,S2,--,S,Seeps And Wet Bluffs,Possible
Claiborne,Invertebrate Animal,Mollusc,Epioblasma capsaeformis,Oyster Mussel,G1,S1,"LE, XN",E,Shallow riffles in mod-swift current of small-medium rivers with coarse sand and gravel; Tennessee &amp; Cumberland river systems excluding the Duck River.,Aquatic
Claiborne,Invertebrate Animal,Mollusc,Quadrula sparsa,Appalachian Monkeyface,G1,S1,"LE, XN",E,Headwater sections of rivers in shallow riffles/runs with sand-gravel substrate & moderate current; upper Tennessee River drainage.,Aquatic
Claiborne,Vascular Plant,Flowering Plant,Chrysogonum virginianum,Green-and-gold,G5,S2,--,T,Dry Woods And Openings,Upland
Claiborne,Vascular Plant,Flowering Plant,Platanthera flava var. herbiola,Tubercled Rein-orchid,G4?T4Q,S2,--,T,Swamps And Floodplains,Possible
Claiborne,Invertebrate Animal,Mollusc,Ptychobranchus subtentum,Fluted Kidneyshell,G2,S2,LE,E,"Small-medium rivers in swift current or riffles, in sand, gravel, and cobble substrates; Tennessee & Cumberland river systems.",Aquatic
Claiborne,Vertebrate Animal,Mammal,Myotis sodalis,Indiana Myotis,G2,S1,LE,E,Hibernates in caves; spring/summer maternity roosts are normally under the bark of standing trees.,Upland
Claiborne,Vertebrate Animal,Fish,Erimonax monachus,Spotfin Chub,G2,S2,"LT,XN",T,Clear upland rivers with swift currents & boulder substrates; portions of the Tennessee River watershed.,Aquatic
Claiborne,Invertebrate Animal,Mollusc,Lemiox rimosus,Birdwing Pearlymussel,G1,S1,"LE, XN",E,Small-medium size rivers in riffle areas with sand and gravel substrates in mod-fast currents; Tennessee River system.,Aquatic
Claiborne,Vascular Plant,Flowering Plant,Rhamnus alnifolia,Alderleaf Buckthorn,G5,S1,--,E,"Swamps, Low Woods",Possible
Claiborne,Nonvascular Plant,Non-Vascular Plant,Homaliadelphus sharpii,Sharp's Homaliadelphus,G3?,S1,--,E,Calcareous Or Dolomite Bluffs,Upland
Claiborne,Invertebrate Animal,Mollusc,Epioblasma triquetra,Snuffbox,G3,S3,LE,E,"Riffles of medium-large rivers with stony or sandy bottoms, in swift currents, usually deeply buried; Tennessee & Cumb. river systems.",Aquatic
Claiborne,Vertebrate Animal,Fish,Chrosomus cumberlandensis,Blackside Dace,G2,S2,LT,T,"Small upland tributaries with sand, sandstone, and shale substrates in unsilted conditions; upper Cumberland R. watershed.",Aquatic
Claiborne,Invertebrate Animal,Mollusc,Hemistena lata,Cracking Pearlymussel,G1,S1,"LE, XN",E,"Medium-sized rivers of mod current, deeply buried in mud, sand, gravel, and cobble substrates; Tennessee & Cumb. river systems.",Aquatic
Claiborne,Vascular Plant,Flowering Plant,Amsonia tabernaemontana var. gattingeri,Limestone Blue Star,G5T3Q,S3,--,S,"Glades, Barrens, And Rocky River Bars",Possible
Claiborne,Invertebrate Animal,Mollusc,Quadrula intermedia,Cumberland Monkeyface,G1,S1,"LE, XN",E,"Shallow riffle and shoal areas of headwater streams and bigger rivers, in coarse sand/gravel substrates; Tennessee River system.",Aquatic
Claiborne,Vascular Plant,Flowering Plant,Berberis canadensis,American Barberry,G3G4,S2,--,S,Rocky Woods And River Bars,Possible
Claiborne,Vertebrate Animal,Fish,Etheostoma baileyi,Emerald Darter,G4G5,S2,--,D,Creeks and small rivers with riffles containing gravel or rubble; upper Cumberland drainage.,Aquatic
Claiborne,Vertebrate Animal,Mammal,Parascalops breweri,Hairy-tailed Mole,G5,S3,--,D,Moist soils in deciduous forests with thick humus; east Tennessee.,Upland
Claiborne,Vertebrate Animal,Fish,Percina aurantiaca,Tangerine Darter,G4,S3,--,D,"Large-moderate size headwater tribs to Tennessee River, in clear, fairly deep, rocky pools, usually below riffles.",Aquatic
Claiborne,Vascular Plant,Flowering Plant,Calamagrostis porteri,Porter's Reedgrass,G4,S1,--,E,Rich Mountain Woods,Upland
Clay,Invertebrate Animal,Insect,Pseudanophthalmus inquisitor,Inquirer Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim escarpment.,Upland
Clay,Vascular Plant,Flowering Plant,Collinsia verna,Spring Blue-eyed Mary,G5,S1,--,E,Rich Wet-Mesic Woods,Possible
Clay,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic
Clay,Vertebrate Animal,Fish,Etheostoma bellum,Orangefin Darter,G4G5,S3,--,D,Locally abundant in small to medium-sized clear streams over gravel substrate; Barren River watershed.,Aquatic
Clay,Invertebrate Animal,Insect,Pseudanophthalmus fowlerae,Fowler's Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; eastern Highland Rim.,Upland
Clay,Vascular Plant,Flowering Plant,Carex ouachitana,Ouachita Sedge,G4,S1,--,S,Rocky Woods,Upland
Clay,Vascular Plant,Flowering Plant,Melanthium woodii,Ozark Bunchflower,G5,S2,--,S,Rich Wooded Slopes,Upland
Clay,Vertebrate Animal,Fish,Thoburnia atripinnis,Blackfin Sucker,G3,S2,--,D,Larger creeks with quiet or gently flowing pools with scattered slabrocks & undercut banks; Barren River watershed.,Aquatic
Clay,Vertebrate Animal,Fish,Etheostoma barbouri,Teardrop Darter,G4G5,S2,--,D,Sandy pools in small to medium streams with slabrock cover; Barren River watershed.,Aquatic
Clay,Vertebrate Animal,Fish,Etheostoma maydeni,Redlips Darter,GNR,S2,--,E,Found in slow-moving large creeks and rivers in pools along the banks strewn with boulders and woody debris.,No Data
Clay,Invertebrate Animal,Mollusc,Lithasia armigera,Armored Rocksnail,G3G4,S1S2,--,"Rare, Not State Listed","Partially buried logs, gravel, and preferably submerged rock outcrops; lower Cumberland River & larger tributaries; Obey River.<br>",Aquatic
Clay,Vertebrate Animal,Amphibian,Aneides aeneus,Green Salamander,G3G4,S3S4,--,"Rare, Not State Listed",Damp crevices in shaded rock outcrops and ledges; beneath loose bark and cracks of trees and sometimes in/or under logs.,Upland
Clay,Invertebrate Animal,Mollusc,Pleurobema plenum,Rough Pigtoe,G1,S1,"LE, XN",E,"Medium to large rivers in sand, gravel, and cobble substrates of shoals; Tennessee & Cumberland river systems.",Aquatic
Clay,Vascular Plant,Flowering Plant,Juglans cinerea,Butternut,G3,S3,--,T,Rich Woods And Hollows,Possible
Clay,Invertebrate Animal,Crustacean,Stygobromus nortoni,Norton's Cave Amphipod,G2G3,SH,--,"Rare, Not State Listed","Aquatic cave obligate, from pools; Eastern Highland Rim and Ridge & Valley.",Aquatic
Clay,Vertebrate Animal,Fish,Percina phoxocephala,Slenderhead Darter,G5,S3,--,D,Small-large rivers with moderate gradient in shoal areas with moderate-swift currents; portions of Tenn & Cumb river watersheds.,Aquatic
Clay,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland
Clay,Invertebrate Animal,Mollusc,Lampsilis abrupta,Pink Mucket,G1G2,S2,LE,E,"Generally a large river species, preferring sand-gravel or rocky substrates with mod-strong currents; Tennessee & Cumberland river systems.",Aquatic
Clay,Invertebrate Animal,Crustacean,Barbicambarus cornutus,Bottle Brush Crayfish,G4,S2,--,D,"Under slabrock in medium-large tributaries of Barren River watershed; Sumner, Macon, Clay counties.",Aquatic
Clay,Vertebrate Animal,Fish,Etheostoma barrenense,Splendid Darter,G4,S3,--,D,Locally abundant in rocky pools and adjacent riffles of small to moderate streams; Barren River watershed.,Aquatic
Cocke,Invertebrate Animal,Mollusc,Anguispira jessica,Mountain Disc,G3G4,S3,--,"Rare, Not State Listed","Higher elevations in the southern Appalachians, arboreal; also inhabits rotting wood; Roan Mountain & Mt. Le Conte.",Upland
Cocke,Vascular Plant,Flowering Plant,Lysimachia fraseri,Fraser's Loosestrife,G3,S2,--,E,Dry Open Woods,Possible
Cocke,Vascular Plant,Flowering Plant,Gratiola viscidula,Short's Hedge-hyssop,G4G5,S1,--,S,"Streamsides, Pond Edges, And Other Wet Areas",Possible
Cocke,Vascular Plant,Flowering Plant,Goodyera repens,Dwarf Rattlesnake-plantain,G5,S1,--,S,Moist Conifer/Rhododendron Woods,Upland
Cocke,Vertebrate Animal,Fish,Etheostoma gutselli,Tuckasegee Darter,G3G4,S1,--,E,Swift riffle areas with coarse rubble; Little Tennessee & Pigeon rivers.,Aquatic
Cocke,Vertebrate Animal,Mammal,Microtus chrotorrhinus carolinensis,Southern Rock Vole,G5T3,S2,--,D,"Mossy rocks and logs, and cool, moist talus slopes at higher elevations of the Appalachians.",Upland
Cocke,Vascular Plant,Flowering Plant,Hydrophyllum virginianum,Appalachian Waterleaf,G5,S3,--,T,Alluvial Woods,Possible
Cocke,Vertebrate Animal,Mammal,Neotoma floridana haematoreia,Southern Appalachian Woodrat,G5T4Q,S2,--,D,Forests & talus slopes in southern Appalachians of southeastern Tennessee.,Upland
Cocke,Invertebrate Animal,Mollusc,Io fluvialis,Spiny Riversnail,G1G2,S2,--,"Rare, Not State Listed",Shallow waters of shoals that are rapid to moderate and well-oxygenated; Tennessee River & main tributaries; E Tennessee.,Aquatic
Cocke,Vertebrate Animal,Amphibian,Cryptobranchus alleganiensis,Hellbender,G3,S3,No Status,E,"Rocky, clear creeks and rivers with large shelter rocks.",Aquatic
Cocke,Invertebrate Animal,Mollusc,Mesomphix rugeli,Wrinkled Button,G4,S3,--,"Rare, Not State Listed",Under leaf litter on wooded hillsides; far NE Tennessee; S Blue Ridge.,Upland
Cocke,Vascular Plant,Flowering Plant,Silene ovata,Ovate Catchfly,G3,S2,--,E,Open Oak Woods,Upland
Cocke,Vascular Plant,Flowering Plant,Saxifraga caroliniana,Carolina Saxifrage,G3,S1S2,--,E,Seepage Slopes And Wet Cliffs,Possible
Cocke,Vascular Plant,Flowering Plant,Rugelia nudicaulis,Rugel's Ragwort,G3,S2,--,E,High Elevation Open Woods,Upland
Cocke,Vertebrate Animal,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,G3G4,S3,--,D,"Caves, hollow trees, abandoned buildings; often associated with forested areas.",Upland
Cocke,Vascular Plant,Flowering Plant,Thermopsis fraxinifolia,Ash-leaved Bush-pea,G3?,S3,--,T,Roadsides And Dry Open Woods,Upland
Cocke,Vascular Plant,Flowering Plant,Platanthera psycodes,Small Purple Fringed Orchid,G5,S2,--,S,Wet Woods And Bog Margins,Possible
Cocke,Invertebrate Animal,Mollusc,Fumonelix wheatleyi,Cinnamon Covert,G4,S3,--,"Rare, Not State Listed","Leaf litter, logs, talus in mixed woodlands, coves @ mid-upper elevations of Blue Ridge; Blount, Carter, Cocke, Monroe, & Sevier cos.",Upland
Cocke,Vascular Plant,Flowering Plant,Streptopus roseus,Rosy Twisted-stalk,G5,S2,--,S,"Rich, Moist Mountain Woods",Upland
Cocke,Vascular Plant,Flowering Plant,Buckleya distichophylla,Piratebush,G3,S2,--,T,Rocky Mountain Woods W/ Hemlock,Upland
Cocke,Vertebrate Animal,Mammal,Myotis leibii,Eastern Small-footed Myotis,G4,S2S3,--,D,"Hibernates in caves & mines; also uses abandoned buildings, bridges, and barns seasonally.",Upland
Cocke,Vascular Plant,Plant: Gymnosperm,Abies fraseri,Fraser Fir,G2,S1S2,--,T,Forests Above 5500 Ft,Possible
Cocke,Vascular Plant,Flowering Plant,Panax quinquefolius,American Ginseng,G3G4,S3S4,--,S-CE,Rich Woods,Possible
Cocke,Nonvascular Plant,Non-Vascular Plant,Frullania plana,A Liverwort,G4,S2,--,S,Shaded Rocks In Moist Mountain Coves,No Data
Cocke,Invertebrate Animal,Insect,Speyeria diana,Diana Fritillary,G2G3,S3,--,"Rare, Not State Listed","Fields, edges, and openings in moist, rich, forested mountains and valleys; Blue Ridge & Cumberland Plateau generally.",Upland
Cocke,Vertebrate Animal,Fish,Carpiodes velifer,Highfin Carpsucker,G4G5,S2S3,--,D,"Large rivers, mostly in Tennessee River drainage.",Aquatic
Cocke,Vascular Plant,Flowering Plant,Carex ruthii,Ruth's Sedge,G3G4,S2,--,T,Mountain Forests And Wet Areas,Possible
Cocke,Vascular Plant,Flowering Plant,Leucothoe racemosa,Fetter-bush,G5,S2,--,T,Acidic Wetlands And Swamps,Possible
Cocke,Vertebrate Animal,Fish,Etheostoma acuticeps,Sharphead Darter,G3,S2S3,--,"Rare, Not State Listed",Strongly flowing water in riffles and chutes of large upland creeks and medium-sized rivers.,Aquatic
Cocke,Vertebrate Animal,Fish,Chrosomus tennesseensis,Tennessee Dace,G3,S3,--,D,First order spring-fed streams of woodlands in Ridge and Valley limestone region; Tennessee River watershed.,Aquatic
Cocke,Vascular Plant,Flowering Plant,Juglans cinerea,Butternut,G3,S3,--,T,Rich Woods And Hollows,Possible
Cocke,Vascular Plant,Flowering Plant,Solidago lancifolia,Broadleaf Goldenrod,G2,S1,--,E,Mountain Woods,Upland
Cocke,Vascular Plant,Flowering Plant,Heracleum maximum,Cow-parsnip,G5,S2,--,S,Moist Woods And Floodplains,Possible
Cocke,Nonvascular Plant,Non-Vascular Plant,Lophocolea appalachiana,A Liverwort,G1G2Q,S1,--,S,Spray Cliffs,Possible
Cocke,Vascular Plant,Flowering Plant,Adlumia fungosa,Climbing Fumitory,G4,S2,--,T,Rich Mesic Woods,Upland
Cocke,Vascular Plant,Flowering Plant,Stachys clingmanii,Clingman's Hedge-nettle,G2,S1S2,--,T,Mountain Clearings And Meadows,Upland
Cocke,Vertebrate Animal,Fish,Percina tanasi,Snail Darter,G2G3,S2S3,LT,T,"Sand and gravel shoals of moderately flowing, vegetated, large creeks; upper Tennessee River watershed.",Aquatic
Cocke,Nonvascular Plant,Non-Vascular Plant,Megaceros aenigmaticus,Megaceros,G3,S2S3,--,S,Mid-Elev. Streams On Wet Shaded Rocks,Possible
Cocke,Invertebrate Animal,Mollusc,Cumberlandia monodonta,Spectaclecase,G3,S2S3,LE,E,"Medium to large rivers; in substrates from mud and sand to gravel, cobble, and boulders; Cumberland and Tennessee river systems.",Aquatic
Cocke,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland
Cocke,Vascular Plant,Flowering Plant,Hypericum mitchellianum,Blue Ridge St. John's-wort,G3,S2,--,T,"High Elevation, Moist Woods",Upland
Cocke,Vascular Plant,Flowering Plant,Trillium rugelii,Southern Nodding Trillium,G4,S2,--,E,Rich Mountain Woods,Possible
Cocke,Vertebrate Animal,Amphibian,Desmognathus wrighti,Pygmy Salamander,G3,S2S3,--,D,"Mature hardwoods & spruce-fir forests under moss, leaf litter, logs, bark, and rocks; high elevations; Blue Ridge.",Upland
Cocke,Vertebrate Animal,Amphibian,Desmognathus abditus,Cumberland Dusky Salamander,G2G3,S2S3,--,D,Assoc. with streams of Cumberland Plateau; under rocks along small streams or adj. cover; Morgan & Grundy counties.,Aquatic
Cocke,Vascular Plant,Flowering Plant,Carex bromoides ssp. montana,Blue Ridge Brome Sedge,G5T3?,S1,--,T,Mountain Bogs & Seeps,Possible
Cocke,Invertebrate Animal,Mollusc,Epioblasma capsaeformis,Oyster Mussel,G1,S1,"LE, XN",E,Shallow riffles in mod-swift current of small-medium rivers with coarse sand and gravel; Tennessee &amp; Cumberland river systems excluding the Duck River.,Aquatic
Cocke,Nonvascular Plant,Non-Vascular Plant,Grimmia olneyi,Grimmia Moss,G3G5,SH,--,S,High Elev. Dry Rocks And Cliffs,Upland
Cocke,Vascular Plant,Flowering Plant,Chrysogonum virginianum,Green-and-gold,G5,S2,--,T,Dry Woods And Openings,Upland
Cocke,Vascular Plant,Flowering Plant,Brachyelytrum aristosum,Northern Shorthusk,G5,S2,--,S,Moist High Elev. Forests,Upland
Cocke,Vascular Plant,Flowering Plant,Paronychia argyrocoma,Silverling,G4,S1S2,--,T,"Dry Sandstone, Granite Outcrops",Upland
Cocke,Vertebrate Animal,Fish,Cycleptus elongatus,Blue Sucker,G3G4,S2,--,T,Swift waters over firm substrates in big rivers.,Aquatic
Cocke,Vascular Plant,Flowering Plant,Cymophyllus fraserianus,Fraser's Sedge,G4,S3,--,S,Mixed Mesophytic Forests,Upland
Cocke,Vertebrate Animal,Amphibian,Desmognathus carolinensis,Carolina Mountain Dusky Salamander,G4,S2S3,--,"Rare, Not State Listed","Seepage areas, springs, small streams, & wet rock faces; spruce-fir forest floor; Blue Ridge; Cocke, Greene, Unicoi Cos.",Aquatic
Cocke,Vascular Plant,Flowering Plant,Stellaria alsine,Trailing Stitchwort,G5,S1,--,E,Bogs And Wet Areas,Possible
Cocke,Vascular Plant,Flowering Plant,Corallorhiza maculata,Spotted Coralroot,G5,S1,--,T,"Shady, Moist Woods",Upland
Cocke,Vertebrate Animal,Mammal,Parascalops breweri,Hairy-tailed Mole,G5,S3,--,D,Moist soils in deciduous forests with thick humus; east Tennessee.,Upland
Cocke,Vertebrate Animal,Fish,Percina aurantiaca,Tangerine Darter,G4,S3,--,D,"Large-moderate size headwater tribs to Tennessee River, in clear, fairly deep, rocky pools, usually below riffles.",Aquatic
Cocke,Vascular Plant,Flowering Plant,Menziesia pilosa,Minniebush,G4G5,S2,--,S,Heath Balds And Cliffs,Possible
Cocke,Vascular Plant,Flowering Plant,Thaspium pinnatifidum,Cutleaf Meadow-parsnip,G2G3,S1,--,E,Calcareous Forests And Woodlands,Upland
Cocke,Invertebrate Animal,Mollusc,Ventridens decussatus,Crossed Dome,G3,S2?,--,"Rare, Not State Listed","In leaf litter of oak woods, usually above 3,000 ft; Blue Ridge.",Upland
Coffee,Vascular Plant,Flowering Plant,Platanthera integra,Yellow Fringeless Orchid,G3G4,S1,--,E,Wet Barrens,Possible
Coffee,Vascular Plant,Flowering Plant,Rhynchospora macrostachya,Tall Horned Beak-Rush,G4,S1S2,--,S,Depression Ponds And Wet Barrens,Possible
Coffee,International Vegetation Classification - Natural,Plant Community,Quercus phellos - Quercus alba / Vaccinium fuscatum - (Viburnum nudum) / Carex barrattii Wet Forest,Barrens Depression Willow Oak Forest,G2,SNR,--,"Rare, Not State Listed",No Data,No Data
Coffee,Vascular Plant,Flowering Plant,Gratiola brevifolia,Sticky Hedge-hyssop,G4,S1,--,S,Wet Barrens And Marshes,Possible
Coffee,Invertebrate Animal,Insect,Pseudanophthalmus tullahoma,Duck River Cave Beetle,G1G2,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Central Basin; Duck River drainage.,Upland
Coffee,Vascular Plant,Flowering Plant,Agalinis oligophylla,Ridge-stem False-foxglove,G4,S1,--,E,Barrens,Possible
Coffee,International Vegetation Classification - Natural,Plant Community,Quercus stellata - (Quercus coccinea) / Quercus marilandica / Vaccinium pallidum - (Vaccinium stamineum) Woodland,Highland Rim Post Oak - Blackjack Oak Woodland,G2G3,S2,--,"Rare, Not State Listed",No Data,No Data
Coffee,Vascular Plant,Flowering Plant,Dichanthelium acuminatum ssp. spretum,Eaton's Witchgrass,G5,S1,--,E,Sandy Peaty Pine Barrens,Possible
Coffee,Vertebrate Animal,Fish,Etheostoma forbesi,Barrens Darter,G1G2,S1,--,E,Headwaters of the Barren Fork & Hickory Creek drainages; Cumberland River watershed.,Aquatic
Coffee,Vascular Plant,Flowering Plant,Carex hirtifolia,Pubescent Sedge,G5,S1S2,--,S,Lowland Forests,Possible
Coffee,Nonvascular Plant,Non-Vascular Plant,Radula voluta,A Liverwort,G3,S2,--,S,Shady Moist Boulders By Waterfalls Or Sreams,Possible
Coffee,Vertebrate Animal,Amphibian,Rana capito,Carolina Gopher Frog,G2G3,S1,--,"Rare, Not State Listed",Seasonally flooded ponds in the Barrens of Coffee County.,Possible
Coffee,Vascular Plant,Flowering Plant,Platanthera cristata,Yellow Crested Orchid,G5,S2S3,--,S,Acidic Seeps And Stream Heads,Possible
Coffee,Vascular Plant,Flowering Plant,Pogonia ophioglossoides,Rose Pogonia,G5,S2,--,E,Wet Acidic Barrens,Possible
Coffee,Invertebrate Animal,Mollusc,Lithasia geniculata pinguis,Small Geniculate River Snail,G3QT3Q,S2,--,"Rare, Not State Listed","Headwater form of L. geniculata, in small rivers and large streams, on gravel substrates; upper Duck & Caney Fork systems.",Aquatic
Coffee,Vascular Plant,Flowering Plant,Lysimachia hybrida,lanceleaf loosestrife,G5,S2,--,S,Wet Prairie,No Data
Coffee,Vascular Plant,Flowering Plant,Solidago austrina,Virginia goldenrod,GNR,S1,--,S,Wet Barrens And Fields,Possible
Coffee,Vascular Plant,Flowering Plant,Gymnopogon brevifolius,Broad-leaved Beardgrass,G5,S1S2,--,S,Barrens,Possible
Coffee,Invertebrate Animal,Mollusc,Lithasia lima,Warty Rocksnail,G2Q,S2,--,"Rare, Not State Listed",Rocky substrates in riffle systems; Elk River & larger tributaries (Tennessee River watershed).,Aquatic
Coffee,Vascular Plant,Flowering Plant,Helianthemum propinquum,Low Frostweed,G4,S1S2,--,E,Barrens,Upland
Coffee,Invertebrate Animal,Mollusc,Pleurobema oviforme,Tennessee Clubshell,G2G3,S2S3,--,"Rare, Not State Listed","Small, shallow streams & rivers with good current & coarse gravel/sand substrates; Tennessee & Cumberland river systems.",Aquatic
Coffee,Vascular Plant,Flowering Plant,Parnassia grandifolia,Large-leaved Grass-of-parnassus,G3,S3,--,S,Calcareous Seeps,Possible
Coffee,Vascular Plant,Flowering Plant,Silphium pinnatifidum,Southern Prairie-dock,G3Q,S2,--,T,Barrens,Possible
